iter	MultiClass
0	1.065783422
1	1.035359979
2	1.005757163
3	0.9791192892
4	0.9537152253
5	0.930163482
6	0.9076205357
7	0.8864031947
8	0.8661861068
9	0.846704069
10	0.8276173067
11	0.8099165041
12	0.7931728249
13	0.7771512089
14	0.7618252042
15	0.746924208
16	0.7328998174
17	0.7197667279
18	0.7069552313
19	0.6945180265
20	0.6813533587
21	0.668864617
22	0.6570166006
23	0.645214106
24	0.6342698306
25	0.624445013
26	0.6150957154
27	0.6060119627
28	0.5963448999
29	0.5878108968
30	0.5788289875
31	0.5699952298
32	0.5617405785
33	0.5543905226
34	0.5469375639
35	0.5394174158
36	0.5323096312
37	0.5256269917
38	0.5189993751
39	0.512911768
40	0.5068903249
41	0.5006813942
42	0.4946410179
43	0.4887194361
44	0.4830895094
45	0.4778969969
46	0.4726173365
47	0.4677380097
48	0.4628910814
49	0.457871156
50	0.4531736779
51	0.4485555556
52	0.4444620981
53	0.4394752547
54	0.4348216239
55	0.4301611239
56	0.4257061562
57	0.4215953374
58	0.41744549
59	0.41344728
60	0.4098126306
61	0.4059437413
62	0.4021440235
63	0.3982084232
64	0.3947184736
65	0.3913702846
66	0.3882720221
67	0.3850925241
68	0.3819536268
69	0.3792784931
70	0.376360268
71	0.3734913242
72	0.3706415188
73	0.368031934
74	0.3652193117
75	0.3624485887
76	0.3599513393
77	0.3573197113
78	0.3551481559
79	0.3528855566
80	0.3501389616
81	0.3479073596
82	0.3459498464
83	0.3433732753
84	0.3413798093
85	0.3394794719
86	0.3370943529
87	0.335084175
88	0.3332177399
89	0.331500003
90	0.3295123811
91	0.327545948
92	0.3256224053
93	0.3239402112
94	0.3223000873
95	0.3204321826
96	0.3185878933
97	0.3170534747
98	0.315660475
99	0.3141667937
100	0.3125589316
101	0.3110124149
102	0.3096081713
103	0.3082121983
104	0.3070795145
105	0.3054904149
106	0.3038653282
107	0.3023121472
108	0.3008889703
109	0.2996807925
110	0.2983879958
111	0.2970789998
112	0.2959913596
113	0.2946626442
114	0.2934671114
115	0.2921785183
116	0.2912215658
117	0.2901979365
118	0.2891463858
119	0.2880883758
120	0.2873012079
121	0.2864650492
122	0.2856784281
123	0.2848636292
124	0.2838244842
125	0.2829653424
126	0.2818531982
127	0.2808803198
128	0.2797165533
129	0.278393887
130	0.2770756978
131	0.2762067134
132	0.2750239793
133	0.2738173736
134	0.2726329479
135	0.2718199261
136	0.2711144552
137	0.2702785357
138	0.2693143379
139	0.2682284235
140	0.2674499875
141	0.2664414468
142	0.2655344249
143	0.2646644494
144	0.2638411578
145	0.2629304279
146	0.2620071896
147	0.2614765955
148	0.2609663187
149	0.2603051394
150	0.2597568593
151	0.2586904593
152	0.258052827
153	0.2571775884
154	0.2565944492
155	0.2554866453
156	0.254842981
157	0.2540487558
158	0.2533966843
159	0.2526744843
160	0.2521305617
161	0.2513701704
162	0.250690297
163	0.2497578826
164	0.2491918483
165	0.2486527785
166	0.2480624966
167	0.2473326071
168	0.2467565594
169	0.2459495867
170	0.245308195
171	0.2448071457
172	0.2443663994
173	0.2437632503
174	0.242970153
175	0.2426588469
176	0.2421562597
177	0.2414812222
178	0.2408802432
179	0.2403949489
180	0.2399735973
181	0.2394492402
182	0.2388952015
183	0.2382584919
184	0.2377077513
185	0.2369986918
186	0.2364904656
187	0.2360322384
188	0.2354789858
189	0.2349435387
190	0.2342553265
191	0.2337161542
192	0.2334105384
193	0.2330233282
