iter	Passed	Remaining
0	16	16406
1	31	15563
2	47	15716
3	61	15325
4	77	15343
5	93	15427
6	107	15276
7	122	15133
8	136	15055
9	151	14980
10	167	15015
11	181	14935
12	208	15859
13	234	16527
14	253	16633
15	267	16466
16	281	16266
17	299	16327
18	316	16343
19	333	16327
20	347	16201
21	361	16071
22	375	15953
23	391	15923
24	405	15827
25	420	15752
26	436	15717
27	454	15773
28	467	15662
29	481	15575
30	509	15929
31	539	16322
32	572	16761
33	585	16633
34	600	16562
35	614	16442
36	627	16338
37	642	16272
38	663	16340
39	678	16288
40	692	16205
41	708	16152
42	723	16091
43	739	16062
44	753	15989
45	766	15905
46	780	15816
47	794	15758
48	809	15707
49	822	15619
50	835	15547
51	850	15507
52	868	15519
53	883	15472
54	900	15470
55	914	15413
56	929	15384
57	944	15345
58	958	15290
59	972	15243
60	986	15189
61	1000	15131
62	1012	15066
63	1035	15137
64	1066	15334
65	1095	15509
66	1117	15558
67	1139	15624
68	1154	15572
69	1169	15537
70	1183	15479
71	1196	15422
72	1209	15363
73	1224	15320
74	1248	15394
75	1274	15500
76	1312	15728
77	1328	15704
78	1346	15701
79	1360	15646
80	1375	15601
81	1389	15556
82	1404	15518
83	1419	15477
84	1432	15422
85	1446	15369
86	1462	15349
87	1477	15309
88	1491	15268
89	1505	15224
90	1519	15182
91	1547	15276
92	1577	15386
93	1606	15483
94	1638	15607
95	1673	15758
96	1687	15713
97	1702	15670
98	1718	15643
99	1734	15614
100	1750	15581
101	1766	15553
102	1803	15705
103	1835	15812
104	1857	15833
105	1872	15794
106	1886	15748
107	1902	15716
108	1918	15685
109	1933	15646
110	1950	15619
111	1964	15572
112	1979	15536
113	1994	15503
114	2010	15473
115	2024	15429
116	2038	15387
117	2054	15356
118	2069	15323
119	2084	15283
120	2098	15247
121	2113	15209
122	2140	15263
123	2170	15336
124	2201	15410
125	2220	15401
126	2244	15431
127	2263	15423
128	2279	15389
129	2294	15354
130	2308	15316
131	2323	15279
132	2336	15232
133	2364	15282
134	2404	15405
135	2436	15478
136	2466	15537
137	2506	15659
138	2540	15736
139	2571	15794
140	2612	15913
141	2643	15975
142	2673	16023
143	2709	16107
144	2739	16155
145	2769	16200
146	2800	16248
147	2833	16308
148	2866	16373
149	2899	16431
150	2929	16470
151	2957	16498
152	2987	16537
153	3014	16560
154	3044	16598
155	3074	16632
156	3105	16675
157	3138	16723
158	3167	16752
159	3194	16772
160	3222	16795
161	3249	16809
162	3279	16842
163	3310	16876
164	3341	16912
165	3379	16979
166	3413	17024
167	3443	17052
168	3469	17060
169	3494	17061
170	3523	17079
171	3550	17091
172	3581	17119
173	3606	17120
174	3622	17076
175	3638	17036
176	3659	17014
177	3676	16976
178	3692	16934
179	3707	16891
180	3736	16906
181	3758	16892
182	3787	16909
183	3814	16918
184	3843	16930
185	3874	16955
186	3910	17001
187	3943	17030
188	3974	17054
189	3994	17030
190	4016	17011
191	4036	16987
192	4052	16942
193	4068	16901
194	4084	16862
195	4102	16827
196	4118	16788
197	4134	16747
198	4152	16712
199	4169	16678
200	4185	16638
201	4202	16601
202	4219	16565
203	4234	16523
204	4251	16486
205	4268	16450
206	4283	16411
207	4300	16376
208	4316	16338
209	4342	16335
210	4369	16337
211	4395	16337
212	4417	16322
213	4446	16331
214	4472	16328
215	4498	16326
216	4532	16354
217	4563	16370
218	4582	16343
219	4600	16309
220	4614	16266
221	4630	16226
222	4645	16186
223	4661	16150
224	4677	16111
225	4707	16123
226	4739	16138
227	4762	16125
228	4791	16133
229	4821	16141
230	4852	16152
231	4882	16161
232	4917	16187
233	4950	16204
234	4979	16210
235	5013	16230
236	5043	16237
237	5063	16210
238	5093	16218
239	5122	16220
240	5141	16191
241	5165	16180
242	5195	16186
243	5220	16173
244	5245	16164
245	5260	16123
246	5276	16084
247	5291	16045
248	5306	16005
249	5322	15967
250	5339	15932
251	5365	15925
252	5389	15911
253	5417	15911
254	5448	15917
255	5476	15916
256	5494	15885
257	5525	15890
258	5555	15894
259	5584	15894
260	5616	15902
261	5647	15907
262	5676	15905
263	5702	15897
264	5729	15892
265	5755	15882
266	5781	15872
267	5811	15872
268	5829	15841
269	5848	15811
270	5864	15776
271	5881	15742
272	5897	15705
273	5919	15684
274	5950	15687
275	5980	15687
276	6001	15664
277	6029	15658
278	6053	15644
279	6083	15642
280	6112	15640
281	6160	15684
282	6190	15684
283	6208	15652
284	6248	15676
285	6271	15656
286	6300	15653
287	6327	15643
288	6354	15633
289	6377	15613
290	6394	15580
291	6413	15551
292	6431	15517
293	6448	15485
294	6466	15452
295	6484	15421
296	6501	15389
297	6532	15388
298	6558	15377
299	6588	15372
300	6604	15338
301	6627	15317
302	6648	15292
303	6665	15261
304	6683	15229
305	6701	15199
306	6717	15164
307	6736	15134
308	6753	15103
309	6771	15071
310	6789	15041
311	6806	15009
312	6824	14978
313	6842	14948
314	6860	14918
315	6878	14888
316	6896	14860
317	6913	14826
318	6929	14793
319	6946	14760
320	6961	14726
321	6979	14696
322	6996	14663
323	7011	14629
324	7027	14594
325	7042	14560
326	7057	14525
327	7076	14498
328	7104	14489
329	7134	14485
330	7162	14475
331	7182	14451
332	7212	14446
333	7242	14441
334	7268	14429
335	7293	14413
336	7312	14386
337	7339	14374
338	7371	14372
339	7399	14363
340	7430	14359
341	7466	14364
342	7489	14346
343	7512	14326
344	7550	14334
345	7577	14323
346	7608	14317
347	7645	14325
348	7676	14319
349	7706	14311
350	7734	14300
351	7759	14285
352	7784	14268
353	7812	14255
354	7853	14268
355	7883	14260
356	7925	14274
357	7971	14294
358	8003	14290
359	8028	14273
360	8066	14278
361	8090	14258
362	8116	14242
363	8140	14223
364	8172	14218
365	8201	14207
366	8234	14203
367	8268	14199
368	8289	14175
369	8306	14143
370	8321	14109
371	8336	14074
372	8351	14039
373	8367	14005
374	8383	13973
375	8410	13958
376	8450	13964
377	8477	13949
378	8504	13935
379	8521	13903
380	8536	13869
381	8551	13835
382	8566	13799
383	8583	13769
384	8606	13747
385	8636	13738
386	8664	13724
387	8688	13704
388	8711	13683
389	8727	13651
390	8755	13637
391	8778	13615
392	8808	13605
393	8831	13583
394	8854	13561
395	8877	13540
396	8905	13527
397	8942	13526
398	8974	13518
399	9015	13523
400	9057	13530
401	9078	13505
402	9111	13498
403	9142	13487
404	9174	13478
405	9207	13471
406	9230	13448
407	9262	13439
408	9284	13416
409	9310	13397
410	9327	13367
411	9344	13336
412	9362	13306
413	9381	13278
414	9399	13250
415	9417	13220
416	9445	13204
417	9469	13184
418	9492	13162
419	9509	13131
420	9525	13100
421	9542	13069
422	9559	13039
423	9578	13012
424	9607	12998
425	9624	12968
426	9641	12938
427	9658	12907
428	9677	12880
429	9694	12851
430	9722	12835
431	9750	12819
432	9784	12812
433	9813	12798
434	9847	12790
435	9876	12775
436	9904	12760
437	9935	12748
438	9967	12737
439	9992	12717
440	10025	12707
441	10057	12696
442	10081	12675
443	10111	12661
444	10136	12642
445	10178	12642
446	10208	12629
447	10237	12613
448	10254	12583
449	10286	12572
450	10317	12559
451	10351	12550
452	10384	12539
453	10419	12531
454	10454	12522
455	10483	12507
456	10518	12497
457	10549	12484
458	10581	12471
459	10602	12446
460	10623	12420
461	10639	12390
462	10656	12359
463	10672	12328
464	10690	12300
465	10708	12271
466	10736	12254
467	10766	12238
468	10791	12218
469	10818	12199
470	10852	12188
471	10884	12176
472	10917	12163
473	10952	12153
474	10983	12140
475	11013	12124
476	11054	12120
477	11082	12102
478	11116	12091
479	11149	12078
480	11168	12051
481	11187	12023
482	11204	11993
483	11220	11962
484	11238	11933
485	11255	11904
486	11271	11873
487	11288	11843
488	11306	11815
489	11323	11785
490	11340	11756
491	11356	11726
492	11374	11697
493	11392	11669
494	11408	11639
495	11426	11610
496	11443	11581
497	11459	11551
498	11476	11522
499	11491	11491
500	11508	11462
501	11524	11432
502	11540	11402
503	11556	11372
504	11571	11342
505	11587	11313
506	11606	11285
507	11622	11256
508	11637	11226
509	11651	11194
510	11665	11163
511	11681	11134
512	11698	11105
513	11714	11076
514	11738	11054
515	11769	11039
516	11795	11019
517	11819	10997
518	11847	10979
519	11894	10979
520	11920	10959
521	11951	10943
522	11977	10923
523	12011	10911
524	12029	10883
525	12044	10853
526	12059	10824
527	12074	10793
528	12089	10764
529	12105	10735
530	12135	10718
531	12165	10702
532	12191	10682
533	12220	10664
534	12251	10648
535	12283	10633
536	12311	10615
537	12339	10596
538	12376	10585
539	12400	10563
540	12428	10545
541	12459	10528
542	12485	10508
543	12507	10484
544	12535	10465
545	12567	10449
546	12594	10430
547	12617	10407
548	12644	10387
549	12677	10372
550	12700	10349
551	12729	10331
552	12758	10313
553	12785	10293
554	12803	10265
555	12824	10241
556	12852	10222
557	12882	10204
558	12909	10184
559	12938	10166
560	12953	10136
561	12969	10108
562	12985	10079
563	13002	10051
564	13017	10022
565	13036	9996
566	13065	9977
567	13099	9963
568	13139	9953
569	13182	9944
570	13221	9933
571	13261	9922
572	13292	9905
573	13331	9894
574	13370	9882
575	13394	9859
576	13432	9847
577	13466	9832
578	13496	9813
579	13523	9792
580	13555	9776
581	13582	9755
582	13608	9733
583	13640	9716
584	13670	9697
585	13695	9675
586	13723	9655
587	13740	9627
588	13757	9600
589	13775	9572
590	13791	9544
591	13810	9517
592	13843	9501
593	13870	9480
594	13899	9460
595	13930	9442
596	13963	9425
597	13992	9406
598	14021	9386
599	14039	9359
600	14057	9332
601	14076	9306
602	14093	9278
603	14114	9253
604	14143	9234
605	14175	9216
606	14202	9195
607	14227	9172
608	14259	9154
609	14296	9140
610	14322	9118
611	14353	9100
612	14387	9083
613	14409	9058
614	14433	9035
615	14465	9017
616	14496	8998
617	14526	8979
618	14560	8962
619	14591	8943
620	14623	8924
621	14656	8906
622	14686	8887
623	14713	8866
624	14742	8845
625	14774	8827
626	14803	8806
627	14835	8787
628	14869	8770
629	14902	8752
630	14934	8733
631	14969	8716
632	14997	8695
633	15029	8676
634	15059	8656
635	15088	8635
636	15139	8627
637	15185	8616
638	15205	8590
639	15223	8563
640	15241	8536
641	15259	8509
642	15277	8482
643	15302	8458
644	15333	8439
645	15367	8421
646	15401	8402
647	15434	8384
648	15466	8364
649	15500	8346
650	15519	8320
651	15537	8292
652	15555	8266
653	15572	8238
654	15590	8211
655	15610	8185
656	15628	8159
657	15658	8138
658	15675	8111
659	15693	8084
660	15710	8057
661	15729	8031
662	15748	8005
663	15766	7978
664	15784	7951
665	15801	7924
666	15819	7897
667	15838	7872
668	15866	7850
669	15895	7829
670	15926	7808
671	15953	7786
672	15991	7770
673	16031	7753
674	16052	7728
675	16079	7706
676	16098	7680
677	16116	7654
678	16132	7626
679	16150	7600
680	16166	7572
681	16183	7546
682	16204	7520
683	16238	7501
684	16272	7482
685	16304	7462
686	16336	7443
687	16369	7423
688	16396	7401
689	16414	7374
690	16430	7347
691	16447	7320
692	16476	7299
693	16499	7275
694	16522	7251
695	16540	7224
696	16558	7198
697	16574	7171
698	16590	7144
699	16608	7117
700	16624	7090
701	16640	7063
702	16669	7042
703	16700	7021
704	16731	7001
705	16771	6984
706	16801	6963
707	16839	6945
708	16873	6925
709	16900	6903
710	16927	6880
711	16954	6858
712	16984	6836
713	17007	6812
714	17024	6786
715	17040	6759
716	17056	6732
717	17072	6705
718	17089	6678
719	17108	6653
720	17139	6632
721	17174	6612
722	17194	6587
723	17213	6562
724	17240	6539
725	17273	6519
726	17301	6496
727	17334	6476
728	17364	6455
729	17396	6434
730	17424	6411
731	17453	6390
732	17483	6368
733	17512	6346
734	17545	6326
735	17571	6302
736	17601	6281
737	17632	6259
738	17659	6237
739	17692	6216
740	17723	6194
741	17754	6173
742	17785	6151
743	17807	6127
744	17830	6103
745	17860	6081
746	17888	6058
747	17921	6037
748	17964	6020
749	18000	6000
750	18025	5976
751	18057	5955
752	18089	5933
753	18108	5908
754	18134	5884
755	18168	5864
756	18201	5842
757	18235	5821
758	18263	5799
759	18297	5778
760	18317	5752
761	18343	5729
762	18373	5707
763	18402	5684
764	18433	5662
765	18466	5641
766	18499	5619
767	18530	5597
768	18564	5576
769	18595	5554
770	18619	5530
771	18647	5507
772	18677	5484
773	18696	5459
774	18715	5433
775	18731	5407
776	18749	5381
777	18780	5358
778	18811	5336
779	18844	5315
780	18876	5293
781	18908	5271
782	18942	5249
783	18985	5230
784	19012	5207
785	19037	5183
786	19063	5159
787	19097	5138
788	19131	5116
789	19153	5091
790	19172	5065
791	19189	5039
792	19208	5014
793	19228	4988
794	19259	4966
795	19291	4944
796	19319	4920
797	19355	4899
798	19388	4877
799	19415	4853
800	19445	4830
801	19472	4807
802	19505	4785
803	19537	4762
804	19570	4740
805	19599	4717
806	19630	4694
807	19664	4672
808	19693	4649
809	19715	4624
810	19735	4599
811	19754	4573
812	19772	4548
813	19791	4522
814	19812	4497
815	19832	4472
816	19851	4446
817	19871	4421
818	19891	4395
819	19910	4370
820	19929	4345
821	19947	4319
822	19976	4296
823	20005	4273
824	20035	4249
825	20065	4226
826	20100	4204
827	20131	4181
828	20163	4159
829	20194	4136
830	20221	4112
831	20252	4089
832	20283	4066
833	20315	4043
834	20349	4021
835	20390	4000
836	20423	3977
837	20455	3954
838	20487	3931
839	20506	3905
840	20524	3880
841	20542	3854
842	20561	3829
843	20578	3803
844	20596	3778
845	20615	3752
846	20636	3727
847	20652	3701
848	20677	3677
849	20698	3652
850	20728	3629
851	20756	3605
852	20788	3582
853	20815	3558
854	20843	3534
855	20862	3509
856	20879	3483
857	20895	3458
858	20912	3432
859	20928	3406
860	20956	3383
861	20982	3359
862	21024	3337
863	21055	3314
864	21098	3292
865	21119	3267
866	21137	3242
867	21154	3216
868	21171	3191
869	21189	3166
870	21210	3141
871	21235	3117
872	21266	3093
873	21294	3069
874	21315	3045
875	21346	3021
876	21377	2998
877	21400	2973
878	21439	2951
879	21480	2929
880	21509	2905
881	21540	2881
882	21566	2857
883	21596	2833
884	21622	2809
885	21651	2785
886	21682	2762
887	21711	2738
888	21742	2714
889	21771	2690
890	21805	2667
891	21833	2643
892	21863	2619
893	21897	2596
894	21922	2571
895	21941	2546
896	21957	2521
897	21976	2496
898	21993	2470
899	22012	2445
900	22037	2421
901	22076	2398
902	22106	2374
903	22131	2350
904	22162	2326
905	22193	2302
906	22214	2277
907	22246	2254
908	22274	2229
909	22294	2204
910	22315	2180
911	22334	2155
912	22352	2129
913	22376	2105
914	22406	2081
915	22435	2057
916	22466	2033
917	22498	2009
918	22526	1985
919	22557	1961
920	22588	1937
921	22619	1913
922	22642	1888
923	22660	1863
924	22678	1838
925	22697	1813
926	22715	1788
927	22745	1764
928	22778	1740
929	22815	1717
930	22846	1693
931	22877	1669
932	22906	1644
933	22929	1620
934	22959	1596
935	22990	1572
936	23016	1547
937	23050	1523
938	23079	1499
939	23110	1475
940	23144	1451
941	23163	1426
942	23181	1401
943	23199	1376
944	23218	1351
945	23236	1326
946	23265	1302
947	23297	1277
948	23323	1253
949	23353	1229
950	23385	1204
951	23420	1180
952	23453	1156
953	23475	1131
954	23493	1107
955	23512	1082
956	23530	1057
957	23549	1032
958	23576	1007
959	23608	983
960	23642	959
961	23690	935
962	23723	911
963	23753	887
964	23783	862
965	23814	838
966	23838	813
967	23867	788
968	23899	764
969	23922	739
970	23963	715
971	23998	691
972	24021	666
973	24043	641
974	24063	617
975	24080	592
976	24099	567
977	24116	542
978	24141	517
979	24159	493
980	24177	468
981	24194	443
982	24212	418
983	24231	394
984	24249	369
985	24280	344
986	24311	320
987	24336	295
988	24362	270
989	24393	246
990	24421	221
991	24452	197
992	24484	172
993	24518	147
994	24556	123
995	24594	98
996	24622	74
997	24658	49
998	24685	24
999	24715	0
